id,labels
420,0
421,1
422,1
423,0
424,1
425,0
426,0
427,0
428,0
429,1
430,0
431,1
432,1
433,0
434,1
435,0
436,1
437,1
438,0
439,0
440,1
441,0
442,0
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,0
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,0
461,0
462,1
463,0
464,1
465,1
466,0
467,0
468,1
469,1
470,1
471,0
472,1
473,0
474,0
475,0
476,1
477,0
478,0
479,1
480,1
481,0
482,0
483,1
484,0
485,0
486,0
487,1
488,1
489,1
490,1
491,1
492,0
493,0
494,1
495,1
496,0
497,0
498,0
499,1
500,1
501,0
502,0
503,1
504,1
505,1
506,0
507,1
508,0
509,1
510,1
511,0
512,0
513,1
514,1
515,1
516,0
517,1
518,0
519,1
520,1
521,0
522,0
523,0
524,1
525,1
526,0
527,1
528,0
529,0
530,0
531,1
532,1
533,0
534,1
535,0
536,0
537,1
538,1
539,1
540,1
541,0
542,1
543,1
544,0
545,1
546,1
547,0
548,1
549,1
550,0
551,0
552,1
553,1
554,1
555,1
556,0
557,0
558,0
559,1
560,0
561,0
562,1
563,1
564,1
565,1
566,0
567,1
568,0
569,0
570,1
571,0
572,0
573,1
574,0
575,1
576,0
577,0
578,1
579,1
580,0
581,0
582,1
583,1
584,0
585,1
586,1
587,0
588,1
589,0
590,1
591,1
592,1
593,1
594,0
595,1
596,0
597,1
598,1
599,0
600,1
601,0
602,0
603,0
604,1
605,0
606,1
607,0
608,0
609,0
610,1
611,0
612,1
613,1
614,0
615,1
616,1
617,0
618,0
619,0
620,0
621,1
622,1
623,0
624,1
625,0
626,0
627,0
628,1
629,0
630,1
631,0
632,1
633,1
634,0
635,0
636,1
637,1
638,0
639,1
640,1
641,1
642,1
643,1
644,0
645,0
646,1
647,0
648,0
649,0
650,0
651,0
652,1
653,0
654,0
655,0
656,1
657,1
658,1
659,0
660,0
661,0
662,1
663,0
664,0
665,1
666,0
667,1
668,0
669,1
670,1
671,0
672,0
673,1
674,1
675,0
676,0
677,0
678,1
679,1
680,0
681,0
682,1
683,1
684,1
685,0
686,1
687,1
688,1
689,1
690,1
691,0
692,0
693,1
694,1
695,0
696,1
697,1
698,1
699,1
700,0
701,1
702,1
703,0
704,0
705,0
706,0
707,1
708,1
709,0
710,1
711,0
712,1
713,0
714,0
715,1
716,0
717,0
718,0
719,1
720,1
721,0
722,0
723,0
724,0
725,1
726,0
727,0
728,0
729,1
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,1
739,0
740,0
741,1
742,0
743,1
744,0
745,1
746,1
747,0
748,0
749,1
750,0
751,0
752,0
753,0
754,1
755,1
756,1
757,0
758,0
759,0
760,1
761,1
762,0
763,1
764,1
765,0
766,1
767,0
768,1
769,0
770,1
771,0
772,1
773,1
774,1
775,1
776,1
777,0
778,1
779,0
780,1
781,1
782,1
783,1
784,1
785,0
786,1
787,1
788,0
789,1
790,0
791,0
792,1
793,0
794,0
795,0
796,1
797,0
798,1
799,0
800,1
801,1
802,1
803,0
804,1
805,1
806,1
807,1
808,0
809,1
810,1
811,0
812,0
813,0
814,1
815,1
816,0
817,0
818,0
819,1
820,1
821,0
822,1
823,1
824,0
825,0
826,1
827,0
828,0
829,0
830,1
831,1
832,1
833,0
834,1
835,0
836,0
837,0
838,1
839,0
840,0
841,1
842,0
843,1
844,0
845,1
846,0
847,0
848,1
849,1
850,1
851,1
852,0
853,1
854,0
855,0
856,0
857,1
858,1
859,1
860,0
861,0
862,1
863,1
864,1
865,0
866,1
867,0
868,0
869,0
870,0
871,1
872,0
873,0
874,0
875,1
876,0
877,1
878,1
879,1
880,1
881,1
882,0
883,1
884,0
885,1
886,1
887,0
888,1
889,1
890,1
891,0
892,0
893,1
894,0
895,1
896,1
897,1
898,0
899,0
900,0
901,1
902,1
903,1
904,0
905,0
906,0
907,1
908,1
909,1
910,0
911,1
912,0
913,0
914,1
915,0
916,0
917,1
918,0
919,0
920,0
921,1
922,0
923,1
924,0
925,0
926,1
927,0
928,0
929,1
930,0
931,0
932,0
933,0
934,1
935,1
936,1
937,1
938,1
939,0
940,1
941,1
942,0
943,1
944,0
945,1
946,0
947,1
948,0
949,1
950,1
951,0
952,0
953,0
954,0
955,1
956,0
957,0
958,1
959,0
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,1
968,1
969,0
970,1
971,1
972,0
973,1
974,0
975,1
976,0
977,1
978,0
979,1
980,1
981,1
982,1
983,0
984,0
985,0
986,0
987,1
988,1
989,0
990,1
991,0
992,0
993,0
994,1
995,0
996,1
997,0
998,1
999,1
1000,1
1001,0
1002,1
1003,0
1004,0
1005,0
1006,1
1007,1
1008,1
1009,1
1010,1
1011,0
1012,0
1013,0
1014,1
1015,1
1016,0
1017,1
1018,1
1019,1
1020,0
1021,1
1022,1
1023,0
1024,0
1025,1
1026,0
1027,0
1028,0
1029,1
1030,0
1031,0
1032,0
1033,1
1034,1
1035,0
1036,0
1037,1
1038,0
1039,1
1040,1
1041,1
1042,1
1043,0
1044,1
1045,0
1046,0
1047,1
1048,1
1049,1
1050,1
1051,1
1052,0
1053,0
1054,0
1055,0
1056,1
1057,1
1058,0
1059,1
1060,1
1061,0
1062,0
1063,0
1064,1
1065,0
1066,0
1067,0
1068,1
1069,1
1070,1
1071,1
1072,1
1073,1
1074,1
1075,0
1076,1
1077,1
1078,1
1079,0
1080,1
1081,1
1082,1
1083,1
1084,1
1085,0
1086,1
1087,0
1088,1
1089,0
1090,1
1091,0
1092,1
1093,1
1094,1
1095,1
1096,1
1097,0
1098,0
1099,0
1100,0
1101,1
1102,1
1103,0
1104,0
1105,0
1106,0
1107,1
1108,1
1109,1
1110,0
1111,1
1112,0
1113,0
1114,1
1115,1
1116,0
1117,1
1118,0
1119,0
1120,1
1121,1
1122,0
1123,1
1124,1
1125,0
1126,0
1127,0
1128,0
1129,1
1130,0
1131,1
1132,0
1133,1
1134,1
1135,0
1136,1
1137,0
1138,1
1139,0
1140,1
1141,1
1142,1
1143,1
1144,0
1145,0
1146,0
1147,1
1148,0
1149,1
1150,1
1151,1
1152,1
1153,0
1154,0
1155,0
1156,0
1157,0
1158,1
1159,0
1160,0
1161,0
1162,0
1163,1
1164,0
1165,0
1166,0
1167,1
1168,0
1169,0
1170,0
1171,0
1172,1
1173,1
1174,1
1175,1
1176,1
1177,0
1178,0
1179,1
1180,1
1181,0
1182,1
1183,1
1184,1
1185,0
1186,1
1187,1
1188,1
1189,0
1190,0
1191,0
1192,0
1193,0
1194,1
1195,0
1196,1
1197,1
1198,1
1199,0
1200,1
1201,0
1202,1
1203,0
1204,0
1205,0
1206,1
1207,0
1208,0
1209,1
1210,1
1211,1
1212,0
1213,0
1214,1
1215,1
1216,0
1217,0
1218,0
1219,0
1220,1
1221,1
1222,1
1223,0
1224,0
1225,1
1226,0
1227,0
1228,0
1229,0
1230,0
1231,1
1232,1
1233,1
1234,1
1235,1
1236,0
1237,0
1238,0
1239,0
1240,1
1241,1
1242,0
1243,1
1244,0
1245,1
1246,0
1247,1
1248,1
1249,0
1250,1
1251,1
1252,1
1253,1
1254,0
1255,0
1256,0
1257,1
1258,0
1259,1
1260,0
1261,1
1262,0
1263,1
1264,1
1265,1
1266,1
1267,1
1268,1
1269,0
1270,0
1271,0
1272,1
1273,0
1274,1
1275,1
1276,0
1277,0
1278,0
1279,1
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,1
1287,1
1288,1
1289,0
1290,0
1291,1
1292,0
1293,0
1294,0
1295,0
1296,1
1297,1
1298,1
1299,1
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,1
1311,1
1312,0
1313,0
1314,1
1315,0
1316,0
1317,0
1318,1
1319,1
1320,0
1321,0
1322,0
1323,1
1324,0
1325,1
1326,1
1327,0
1328,1
1329,1
1330,1
1331,0
1332,1
1333,0
1334,1
1335,1
1336,1
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,1
1345,1
1346,0
1347,1
1348,0
1349,0
1350,0
1351,1
1352,1
1353,0
1354,1
1355,0
1356,0
1357,0
1358,0
1359,1
1360,0
1361,1
1362,1
1363,0
1364,0
1365,1
1366,1
1367,0
1368,1
1369,1
1370,0
1371,1
1372,1
1373,0
1374,1
1375,1
1376,1
1377,0
1378,0
1379,0
1380,1
1381,1
1382,1
1383,1
1384,0
1385,1
1386,0
1387,0
1388,0
1389,0
1390,1
1391,1
1392,0
1393,1
1394,1
1395,0
1396,0
1397,1
1398,0
1399,0
1400,1
1401,0
1402,0
1403,1
1404,0
1405,0
1406,1
1407,0
1408,0
1409,1
1410,0
1411,1
1412,1
1413,0
1414,0
1415,1
1416,0
1417,0
1418,0
1419,0
1420,1
1421,0
1422,1
1423,1
1424,0
1425,1
1426,1
1427,1
1428,0
1429,1
1430,0
1431,1
1432,1
1433,1
1434,0
1435,0
1436,1
1437,0
1438,0
1439,0
1440,1
1441,0
1442,1
1443,0
1444,0
1445,0
1446,1
1447,1
1448,1
1449,1
1450,1
1451,0
1452,1
1453,0
1454,1
1455,1
1456,0
1457,0
1458,1
1459,0
1460,1
1461,1
1462,0
1463,1
1464,1
1465,0
1466,0
1467,1
1468,1
1469,0
1470,1
1471,1
1472,1
1473,1
1474,1
1475,0
1476,0
1477,1
1478,1
1479,1
1480,1
1481,1
1482,0
1483,0
1484,0
1485,0
1486,1
1487,0
1488,1
1489,0
1490,0
1491,1
1492,0
1493,0
1494,0
1495,0
1496,1
1497,0
1498,1
1499,0
1500,0
1501,0
1502,0
1503,1
1504,1
1505,0
1506,0
1507,1
1508,1
1509,0
1510,1
1511,1
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,1
1520,1
1521,0
1522,0
1523,1
1524,0
1525,0
1526,0
1527,1
1528,1
1529,1
1530,0
1531,0
1532,1
1533,1
1534,0
1535,0
1536,1
1537,1
1538,1
1539,1
1540,1
1541,0
1542,1
1543,0
1544,1
1545,1
1546,0
1547,0
1548,0
1549,1
1550,0
1551,0
1552,0
1553,1
1554,1
1555,1
1556,1
1557,0
1558,1
1559,1
1560,0
1561,0
1562,1
1563,0
1564,1
1565,0
1566,0
1567,0
1568,0
1569,0
1570,1
1571,1
1572,1
1573,0
1574,1
1575,1
1576,1
1577,1
1578,1
1579,0
1580,0
1581,1
1582,1
1583,1
1584,1
1585,0
1586,0
1587,1
1588,1
1589,1
1590,1
1591,1
1592,1
1593,0
1594,1
1595,1
1596,0
1597,0
1598,0
1599,1
1600,0
1601,0
1602,1
1603,1
1604,0
1605,1
1606,0
1607,1
1608,1
1609,0
1610,0
1611,0
1612,1
1613,1
1614,0
1615,0
1616,0
1617,0
1618,1
1619,0
1620,1
1621,0
1622,1
1623,0
1624,0
1625,1
1626,1
1627,0
1628,1
1629,1
1630,0
1631,0
1632,0
1633,1
1634,0
1635,1
1636,1
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,1
1645,1
1646,1
1647,1
1648,1
1649,0
1650,1
1651,0
1652,1
1653,0
1654,1
1655,1
1656,0
1657,1
1658,0
1659,0
1660,0
1661,0
1662,1
1663,1
1664,1
1665,1
1666,0
1667,1
1668,0
1669,0
1670,0
1671,1
1672,1
1673,0
1674,1
1675,1
1676,1
1677,0
1678,0
1679,0
1680,1
1681,1
1682,0
1683,0
1684,0
1685,1
1686,0
1687,0
1688,1
1689,1
1690,1
1691,0
1692,0
1693,1
1694,1
1695,1
1696,0
1697,0
1698,1
1699,1
1700,1
1701,1
1702,1
1703,1
1704,1
1705,0
1706,1
1707,1
1708,1
1709,0
1710,1
1711,1
1712,1
1713,1
1714,0
1715,1
1716,1
1717,0
1718,0
1719,1
1720,1
1721,0
1722,0
1723,1
1724,1
1725,0
1726,1
1727,0
1728,0
1729,0
1730,1
1731,0
1732,1
1733,1
1734,0
1735,1
1736,1
1737,0
1738,0
1739,0
1740,1
1741,1
1742,1
1743,0
1744,1
1745,1
1746,0
1747,0
1748,1
1749,0
1750,0
1751,1
1752,0
1753,1
1754,0
1755,0
1756,1
1757,1
1758,1
1759,1
1760,0
1761,0
1762,1
1763,1
1764,1
1765,1
1766,1
1767,1
1768,1
1769,1
1770,0
1771,0
1772,1
1773,0
1774,1
1775,1
1776,1
1777,0
1778,1
1779,0
1780,1
1781,0
1782,0
1783,1
1784,1
1785,1
1786,1
1787,0
1788,0
1789,0
1790,1
1791,1
1792,0
1793,1
1794,0
1795,1
1796,0
1797,1
1798,1
1799,1
1800,1
1801,0
1802,0
1803,0
1804,0
1805,0
1806,1
1807,0
1808,1
1809,0
1810,1
1811,1
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,1
1819,1
1820,0
1821,1
1822,1
1823,1
1824,1
1825,1
1826,0
1827,1
1828,1
1829,0
1830,1
1831,1
1832,0
1833,1
1834,0
1835,1
1836,1
1837,0
1838,0
1839,1
1840,1
1841,0
1842,0
1843,0
1844,0
1845,0
1846,1
1847,1
1848,1
1849,1
1850,1
1851,0
1852,0
1853,1
1854,0
1855,0
1856,0
1857,1
1858,0
1859,1
1860,0
1861,0
1862,0
1863,1
1864,1
1865,1
1866,1
1867,0
1868,1
1869,1
1870,1
1871,1
1872,1
1873,0
1874,1
1875,0
1876,0
1877,1
1878,0
1879,0
1880,0
1881,0
1882,0
1883,1
1884,0
1885,1
1886,0
1887,0
1888,1
1889,0
1890,1
1891,1
1892,1
1893,0
1894,1
1895,0
1896,1
1897,0
1898,0
1899,0
1900,1
1901,0
1902,0
1903,1
1904,0
1905,0
1906,1
1907,1
1908,0
1909,0
1910,0
1911,0
1912,1
1913,0
1914,1
1915,0
1916,1
1917,0
1918,1
1919,0
1920,1
1921,0
1922,1
1923,1
1924,0
1925,0
1926,1
1927,0
1928,1
1929,1
1930,0
1931,0
1932,1
1933,0
1934,1
1935,1
1936,1
1937,0
1938,0
1939,1
1940,1
1941,1
1942,1
1943,0
1944,0
1945,1
1946,0
1947,1
1948,0
1949,1
1950,1
1951,1
1952,0
1953,1
1954,0
1955,1
1956,1
1957,1
1958,0
1959,1
1960,0
1961,0
1962,1
1963,0
1964,1
1965,1
1966,1
1967,1
1968,1
1969,1
1970,1
1971,1
1972,1
1973,1
1974,1
1975,1
1976,1
1977,0
1978,0
1979,0
1980,1
1981,0
1982,0
1983,1
1984,0
1985,1
1986,0
1987,1
1988,1
1989,0
1990,0
1991,1
1992,1
1993,1
1994,0
1995,1
1996,0
1997,1
1998,1
1999,0
2000,0
2001,0
2002,0
2003,1
2004,1
2005,0
2006,0
2007,0
2008,1
2009,1
2010,1
2011,0
2012,0
2013,0
2014,0
2015,1
2016,0
2017,1
2018,0
2019,1
2020,1
2021,0
2022,0
2023,0
2024,0
2025,1
2026,1
2027,0
2028,1
2029,1
2030,0
2031,1
2032,1
2033,1
2034,0
2035,0
2036,1
2037,0
2038,0
2039,1
2040,1
2041,1
2042,1
2043,1
2044,1
2045,1
2046,1
2047,1
2048,0
2049,0
2050,1
2051,0
2052,1
2053,1
2054,1
2055,0
2056,1
2057,1
2058,1
2059,1
2060,1
2061,0
2062,1
2063,0
2064,1
2065,1
2066,0
2067,1
2068,1
2069,1
2070,0
2071,0
2072,1
2073,1
2074,0
2075,0
2076,0
2077,1
2078,1
2079,1
2080,1
2081,0
2082,0
2083,0
2084,0
2085,1
2086,0
2087,0
2088,0
2089,1
2090,1
2091,0
2092,1
2093,1
2094,0
2095,0
2096,1
2097,1
2098,1
2099,1
2100,1
2101,0
2102,0
2103,0
2104,1
2105,0
2106,1
2107,0
2108,1
2109,1
2110,1
2111,1
2112,0
2113,1
2114,1
2115,0
2116,1
2117,1
2118,0
2119,1
2120,1
2121,1
2122,1
2123,0
2124,1
2125,1
2126,0
2127,1
2128,1
2129,0
2130,1
2131,1
2132,0
2133,0
2134,0
2135,0
2136,1
2137,1
2138,1
2139,1
2140,0
2141,0
2142,1
2143,0
2144,0
2145,0
2146,0
2147,1
2148,1
2149,1
2150,0
2151,1
2152,1
2153,0
2154,1
2155,1
2156,1
2157,0
2158,1
2159,1
2160,1
2161,0
2162,1
2163,0
2164,1
2165,1
2166,1
2167,0
2168,1
2169,0
2170,1
2171,0
2172,0
2173,1
2174,1
2175,0
2176,0
2177,0
2178,0
2179,1
2180,1
2181,1
2182,1
2183,1
2184,1
2185,0
2186,1
2187,1
2188,0
2189,0
2190,1
2191,0
2192,0
2193,1
2194,0
2195,1
2196,0
2197,0
2198,1
2199,1
2200,0
2201,1
2202,0
2203,0
2204,0
2205,0
2206,0
2207,1
2208,0
2209,0
2210,0
2211,1
2212,0
2213,1
2214,0
2215,1
2216,0
2217,0
2218,0
2219,0
2220,1
2221,1
2222,0
2223,1
2224,0
2225,0
2226,1
2227,1
2228,0
2229,1
2230,1
2231,0
2232,0
2233,0
2234,0
2235,0
2236,1
2237,1
2238,1
2239,1
2240,1
2241,1
2242,1
2243,1
2244,1
2245,1
2246,1
2247,0
2248,0
2249,0
2250,1
